                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2776,                  1.055,                 1.5165,                0.92078,                0.84977,                0.88639,                0.56614,                  1.314,                 0.8707,                 1.7302,               0.005743,               0.005743,               0.005743
                     45,                 1.2765,                  1.069,                 1.5205,                0.90735,                0.84881,                 0.8873,                0.57428,                 1.2854,                0.84632,                 1.7012,               0.005644,               0.005644,               0.005644
                     46,                 1.2523,                 1.1025,                  1.571,                0.89954,                 0.8406,                0.89644,                0.53868,                 1.3303,                0.92591,                 1.7493,               0.005545,               0.005545,               0.005545
                     47,                 1.2595,                 1.0828,                 1.5358,                0.90259,                 0.8183,                0.88499,                0.52716,                 1.3571,                0.92546,                 1.7841,               0.005446,               0.005446,               0.005446
                     48,                 1.2873,                 1.0564,                 1.5552,                0.90549,                0.84171,                0.89938,                0.54643,                 1.3171,                0.86248,                 1.7288,               0.005347,               0.005347,               0.005347
                     49,                 1.2529,                 1.1043,                 1.5269,                0.86143,                0.82242,                0.90341,                0.53657,                 1.3457,                0.94153,                 1.7159,               0.005248,               0.005248,               0.005248
                     50,                 1.2678,                 1.0983,                 1.5324,                0.82124,                0.66808,                0.77824,                0.45239,                 1.5919,                 1.2096,                 1.9867,               0.005149,               0.005149,               0.005149
                     51,                 1.2509,                 1.0237,                 1.5197,                0.83188,                0.84211,                0.89627,                0.55095,                 1.3233,                0.82457,                 1.7294,                0.00505,                0.00505,                0.00505
                     52,                 1.2541,                 1.0576,                 1.5468,                 0.9284,                0.84546,                0.91188,                0.57413,                  1.279,                0.79716,                  1.706,               0.004951,               0.004951,               0.004951
                     53,                  1.275,                 1.0639,                 1.5781,                 0.8741,                0.86773,                0.92418,                0.57695,                 1.3106,                0.75931,                 1.7263,               0.004852,               0.004852,               0.004852
                     54,                  1.222,                0.95325,                 1.5006,                0.93794,                 0.8889,                0.94259,                0.60943,                 1.2596,                 0.7741,                 1.6794,               0.004753,               0.004753,               0.004753
                     55,                 1.2463,                 1.0106,                 1.4935,                0.93681,                0.87905,                0.93029,                 0.5649,                 1.3526,                0.77966,                 1.7539,               0.004654,               0.004654,               0.004654
                     56,                 1.2594,                0.97185,                 1.5207,                0.93395,                 0.8697,                 0.9313,                 0.6081,                 1.2188,                0.83887,                 1.6737,               0.004555,               0.004555,               0.004555
