               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.024704,            0.012438,           0.0058066,             0.98264,             0.99719,              0.9947,             0.75645,            0.014744,           0.0047594,           0.0011829,            0.005578,            0.005578,            0.005578
                  69,            0.028054,             0.01153,           0.0065967,              0.9889,             0.97366,             0.99363,             0.77098,            0.013123,           0.0047336,           0.0011151,            0.005512,            0.005512,            0.005512
                  70,             0.02576,            0.011347,           0.0035723,             0.96242,             0.99596,             0.99344,             0.75599,            0.015361,           0.0047399,           0.0010681,            0.005446,            0.005446,            0.005446
                  71,            0.024689,            0.011283,           0.0042194,             0.97374,             0.98657,             0.99319,             0.71916,            0.013909,           0.0048211,           0.0011486,             0.00538,             0.00538,             0.00538
                  72,            0.021991,            0.011181,           0.0054666,             0.97736,             0.98773,             0.99375,             0.67581,            0.015491,           0.0047827,           0.0011188,            0.005314,            0.005314,            0.005314
                  73,            0.030337,            0.012306,            0.007617,             0.97294,             0.98276,             0.99375,             0.77487,             0.01252,           0.0046853,           0.0012537,            0.005248,            0.005248,            0.005248
                  74,            0.024393,            0.010924,           0.0057134,             0.95246,             0.99198,             0.99085,             0.74867,            0.014807,           0.0049804,           0.0012728,            0.005182,            0.005182,            0.005182
                  75,            0.026366,             0.01085,           0.0055939,             0.96288,             0.99175,             0.99085,             0.77416,            0.013317,           0.0050066,           0.0011223,            0.005116,            0.005116,            0.005116
                  76,            0.029147,            0.011392,           0.0053725,              0.9725,             0.99454,             0.99375,             0.76108,            0.015347,           0.0049548,          0.00094622,             0.00505,             0.00505,             0.00505
                  77,            0.025276,            0.011179,           0.0049726,             0.99454,             0.97341,             0.99371,             0.75586,            0.014695,           0.0050112,          0.00091118,            0.004984,            0.004984,            0.004984
                  78,            0.027192,            0.011183,           0.0040563,              0.9905,             0.98605,              0.9948,              0.7721,            0.015626,           0.0047023,          0.00092131,            0.004918,            0.004918,            0.004918
                  79,            0.023259,            0.010618,           0.0043005,             0.99261,             0.99054,             0.99475,             0.78567,              0.0132,            0.004595,          0.00092125,            0.004852,            0.004852,            0.004852
